time,CS1_waiting_num,CS1_charging_num,CS1_waiting_time,CS2_waiting_num,CS2_charging_num,CS2_waiting_time,CS3_waiting_num,CS3_charging_num,CS3_waiting_time,CS4_waiting_num,CS4_charging_num,CS4_waiting_time,CS5_waiting_num,CS5_charging_num,CS5_waiting_time,CS6_waiting_num,CS6_charging_num,CS6_waiting_time,CS7_waiting_num,CS7_charging_num,CS7_waiting_time,CS8_waiting_num,CS8_charging_num,CS8_waiting_time,CS0_waiting_num,CS0_charging_num,CS0_waiting_time,CS9_waiting_num,CS9_charging_num,CS9_waiting_time
2.65,0,0,0,0,0,0.27499999999999836,0,2,0.5999999999999979,0,0,1.600000000000009,0,0,0.8949999999999996,0,0,0,0,1,0.05499999999999849,0,2,0.6262499999999991,0.0,0.0,6.91166666666672,5.0,8.0,0.0
2.66,0,0,0,0,0,0.26499999999999835,0,2,0.5899999999999979,0,0,1.590000000000009,0,0,0.8849999999999996,0,0,0,0,1,0.044999999999998486,0,2,0.6162499999999991,0.0,0.0,6.901666666666721,5.0,8.0,0.0
2.67,0,0,0,0,0,0.25499999999999834,0,2,0.5799999999999979,0,0,1.580000000000009,0,0,0.8749999999999996,0,0,0,0,1,0.034999999999998484,0,2,0.6062499999999991,0.0,0.0,6.891666666666721,5.0,8.0,0.0
2.68,0,0,0,0,0,0.24499999999999833,0,2,0.5699999999999978,0,0,1.570000000000009,0,0,0.8649999999999995,0,0,0,0,1,0.024999999999998482,0,2,0.5962499999999991,0.0,0.0,6.881666666666721,5.0,8.0,0.0
2.69,0,0,0,0,0,0.23499999999999832,0,2,0.5599999999999978,0,0,1.560000000000009,0,0,0.8549999999999995,0,0,0,0,1,0.014999999999998482,0,2,0.586249999999999,0.0,0.0,6.871666666666721,5.0,8.0,0.0
2.7,0,0,0,0,0,0.2249999999999983,0,2,0.5499999999999978,0,0,1.550000000000009,0,0,0.8449999999999995,0,0,0,0,1,0,0,1,0.576249999999999,0.0,0.0,6.861666666666721,5.0,8.0,0.0
2.71,0,0,0,0,0,0.2149999999999983,0,2,0.5399999999999978,0,0,1.540000000000009,0,0,0.8349999999999995,0,0,0,0,1,0,0,1,0.566249999999999,0.0,0.0,6.851666666666722,5.0,8.0,0.0
2.72,0,0,0,0,0,0.2049999999999983,0,2,0.5299999999999978,0,0,1.530000000000009,0,0,0.8249999999999995,0,0,0,0,1,0,0,1,0.556249999999999,0.0,0.0,6.841666666666722,5.0,8.0,0.0
2.73,0,0,0,0,0,0.19499999999999829,0,2,0.5199999999999978,0,0,1.520000000000009,0,0,0.8149999999999995,0,0,0,0,1,0,0,1,0.546249999999999,0.0,0.0,6.831666666666722,5.0,8.0,0.0
2.74,0,0,0,0,0,0.18499999999999828,0,2,0.5099999999999978,0,0,1.510000000000009,0,0,0.8049999999999995,0,0,0,0,1,0,0,1,0.536249999999999,0.0,0.0,6.821666666666722,5.0,8.0,0.0
2.75,0,0,0,0,0,0.17499999999999827,0,2,0.4999999999999978,0,0,1.5000000000000089,0,0,0.7949999999999995,0,0,0,0,1,0,0,1,0.526249999999999,0.0,0.0,6.8116666666667225,5.0,8.0,0.0
2.76,0,0,0,0,0,0.16499999999999826,0,2,0.48999999999999777,0,0,1.4900000000000089,0,0,0.7849999999999995,0,0,0,0,1,0,0,1,0.516249999999999,0.0,0.0,6.801666666666723,5.0,8.0,0.0
2.77,0,0,0,0,0,0.15499999999999825,0,2,0.47999999999999776,0,0,1.4800000000000089,0,0,0.7749999999999995,0,0,0,0,1,0,0,1,0.506249999999999,0.0,0.0,6.791666666666723,5.0,8.0,0.0
